name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
Chicken Tortilla Soup|2 whole Boneless, Skinless Chicken Breasts 1 Tablespoon Olive Oil 1-1/2 teaspoon Cumin 1 teaspoon Chili Powder 1/2 teaspoon Garlic Powder 1/2 teaspoon Salt 1 Tablespoon Olive Oil 1 cup Diced Onion 1/4 cup Diced Green Bell Pepper 1/4 cup Red Bell Pepper 3 cloves Garlic, Minced 1 can (10 Oz. Can) Rotel Tomatoes And Green Chilies 32 ounces, fluid Low Sodium Chicken Stock 3 Tablespoons Tomato Paste 4 cups Hot Water 2 cans (15 Oz. Can) Black Beans, Drained 3 Tablespoons Cornmeal Or Masa 5 whole Corn Tortillas, Cut Into Uniform Strips Around 2 To 3 Inches  _____  FOR THE GARNISHES:  Sour Cream  Diced Avocado  Diced Red Onion  Salsa Or Pico De Gallo  Grated Monterey Jack Cheese  Cilantro|http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/|http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg|PT1H30M|8|2011-01-10|PT10M|I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...|Hard
My Brother’s Chicken Tacos|16 whole Corn Tortillas (small Size) 4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces  Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning) 2 Tablespoons Canola Oil 2 cans (4 Ounce) Diced Green Chilies 1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)  Sour Cream  Hot Sauce (Chulula Or Other Brand) 2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce) 4 whole Roma Tomatoes, Diced  Canola Oil, For Frying Tacos|http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/|http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg|PT30M|8|2011-03-31|PT10M|Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...|Medium
Simple Sesame Noodles|12 ounces, fluid Thin Noodles, Cooked And Drained 1/4 cup Soy Sauce 2 Tablespoons Sugar 4 cloves Garlic, Minced 2 Tablespoons Rice Vinegar 3 Tablespoons Pure Sesame Oil 1/2 teaspoon Hot Chili Oil 4 Tablespoons Canola Oil 4 whole Green Onions, Sliced Thin|http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/|http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg|PT10M|8|2010-08-13|PT10M|  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...|Easy
Big Steak Salad|2 whole Rib-eye Or Strip Steaks, Extra Fat Trimmed  _____  FOR THE DRESSING/MARINADE: 3/4 cups Canola Oil 3 Tablespoons Red Wine Vinegar 1 Tablespoon Balsamic Vinegar 1 Tablespoon Worcestershire Sauce 2 Tablespoons Soy Sauce 1 teaspoon (additional) Soy Sauce 2 Tablespoons Lime Juice 2 Tablespoons Sugar 3 cloves Garlic, Peeled 1 Tablespoon Minced Fresh Ginger 1/2 teaspoon Hot Chili Oil 1 teaspoon Kosher Salt  Lots Of Freshly Ground Black Pepper  _____  FOR THE ONION STRINGS: 2 whole Onions, Sliced As Thin As Possible 2 cups Buttermilk 2 cups Flour 1 Tablespoon Salt 1/2 teaspoon Cayenne Pepper 1 quart Canola Oil  Black Pepper To Taste  _____  FOR THE CANDIED PECAN BITS: 1/2 cup Pecans, Chopped 1 cup Sugar 2 Tablespoons Water  _____  FOR THE SALAD:  Lettuce Mix: Romaine, Arugula, Watercress, Raddiccio, Etc.  Small Grape Tomatoes 3/4 cups Crumbled Blue Cheese|http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/|http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg|PT20M|4|2010-10-20|PT1M|There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...|Easy
Butternut Squash &amp; Kale Quesadillas|1/2 whole Butternut Squash, Peeled, Seeded, And Diced. 2 Tablespoons Butter 1 Tablespoon Olive Oil 1/2 teaspoon Kosher Salt  Black Pepper To Taste 1/4 teaspoon Chili Powder (more To Taste) 1 bunch Kale, Leaves Torn, Stalks Discarded 8 whole Small (fajita Sized) Flour Tortillas  Extra Butter For Frying 2-1/2 cups Monterey Jack Cheese, Grated (more If Needed)  Sour Cream For Serving  Cilantro, For Serving  Pico De Gallo, Salsa, Avocado Slices (optional) For Serving|http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/|http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg|PT20M|4|2013-01-07|PT15M|I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...|Medium
Passover Brisket|1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds) 1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher) 1 package Onion Soup Mix (make Sure It's Kosher)|http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/|http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg|PT7H|8|2010-03-30|PT10M|Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...|Hard
Sloppy Joes|2 Tablespoons Butter 2-1/2 pounds Ground Beef 1/2 whole Large Onion, Diced 1 whole Large Green Bell Pepper, Diced 5 cloves Garlic, Minced 1-1/2 cup Ketchup 1 cup Water 2 Tablespoons Brown Sugar 2 teaspoons Chili Powder (more To Taste) 1 teaspoon Dry Mustard 1/2 teaspoon Red Pepper Flakes (more To Taste)  Worcestershire Sauce, To Taste 2 Tablespoons Tomato Paste (optional)  Tabasco Sauce (optional; To Taste)  Salt To Taste  Freshly Ground Black Pepper, To Taste  Kaiser Rolls  Butter|http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/|http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg|PT20M|8|2010-04-12|PT10M|I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...|Medium
Butternut Squash Risotto|1/2 whole Butternut Squash, Peeled, Seeded, And Diced. 3 Tablespoons Butter 1 Tablespoon Olive Oil 1/2 teaspoon Kosher Salt  Black Pepper To Taste 1/4 teaspoon Chili Powder 1/2 whole Diced Onion 1-1/2 cup Arborio Rice 6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)  Salt And Pepper, to taste 1/8 teaspoon Turmeric 1/4 cup Heavy Cream (less If Desired) 1/2 cup Parmesan Shavings (more For Serving)  Finely Minced Parsley, For Serving|http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/|http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg|PT1H|8|2013-01-21|PT10M|A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...|Hard
Chicken Tikka Masala, by Pastor Ryan|3 whole (to 4) Chicken Breasts  Kosher Salt  Ground Coriander  Cumin, To Taste 1/2 cup Plain Yogurt 6 Tablespoons Butter 1 whole Large Onion 4 cloves Garlic 1 piece (approximately 2 Inches) Chunk Fresh Ginger  Garam Masala 1 can (28 Ounce) Diced Tomatoes  Sugar 1-1/2 cup Heavy Cream 2 cups Basmati Rice  _____  OPTIONAL:  Fresh Cilantro  Chili Peppers  Turmeric  Frozen Peas|http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/|http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg|PT1H|6|2009-06-04|PT30M|Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...|Hard
Fresh Corn and Avocado Salsa|4 ears Sweet Corn 2 whole Very Firm Avocados, Diced  1/2 Red Onion, Diced  1/2 Jalapeno, Seeded And Finely Diced  1/2 Hot Chili Pepper, Seeded And Finely Diced 1 whole Juice Of Lime  Plenty Of Chopped Cilantro  Salt To Taste 1 Tablespoon Vinegar 1 teaspoon Sugar (optional)|http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/|http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg|PT|10|2009-08-13|PT25M|I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...|Easy
Lazy Chiles Rellenos|8 whole Roasted, Peeled, And Seeded Green Chiles 1-1/2 cup Monterey Jack Cheese, Grated 5 whole Large Eggs 2 cups Whole Milk  Salt And Black Pepper To Taste 1/2 teaspoon Paprika 1/4 teaspoon Cayenne Pepper|http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/|http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg|PT45M|9|2009-11-12|PT5M|This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...|Medium
What I Made for Lunch on Saturday|1-1/2 pound Linguine 1 bunch Cilantro, Roughly Chopped 4 whole Green Onions, Thinly Sliced  _____  PEANUT DRESSING: 5 cloves Garlic, Peeled 1 cup Chunky Peanut Butter 3/4 cups Low Sodium Soy Sauce 4 Tablespoons (to 5 Tablespoons) Red Wine Vinegar 6 Tablespoons Brown Sugar 3 Tablespoons (to 4 Tablespoons) Red Chile Oil 1/4 cup Olive Oil 1/4 cup Sesame Oil (can Also Use 1/2 Cup Olive Oil) 1 Tablespoon (to 2 Tablespoons) Toasted Sesame Oil (sold In The Asian Aisle)|http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/|http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg|PT10M|4|2009-04-27|PT20M|It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...|Medium
Leftover Brisket Tostadas| Beef Brisket Leftovers 1 package Small Corn Tortillas 1 can (about 16 Oz.) Refried Beans 1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)  Pico De Gallo  Shredded Cheese  Lettuce  Sour Cream 1 whole Avocado  Vegetable Oil|http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/|http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg|PT5M|6|2008-01-15|PT15M|    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...|Easy
Cooking With Pastor Ryan: Delicious Mexican Lasagna|4 cups Unprepared Rice 6 cups (to 8 Cups) Low Sodium Chicken Broth/stock 4 whole (to 8) Tomatoes (up To You) 2 whole (to 3) Onions (up To You) 8 cloves (to 14 Cloves) Of Garlic (up To You)  Butter  Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste 1 can (to 2 Cans) Black Or Pinto Beans (up To You) 3 pounds Lean Ground Beef 2 jars (16 Ounce) Salsa Verde  Flour Tortillas 3 packages (16 Ounces) Mexican Cheese Blend 1 jar (16 Ounce) Enchilada Sauce 3 cans Corn, Drained  Sour Cream, to taste  Cilantro, to taste|http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/|http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg|PT35M|8|2008-08-14|PT45M|Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...|Hard
Spicy Shredded Pork|4 pounds (up To 7 Pounds) Pork Shoulder 1 teaspoon Dried Oregano 1 teaspoon Ground Cumin 1 teaspoon Chili Powder 1 Tablespoon (to 2 Tablespoons) Salt  Pepper To Taste 3 cloves (to 4 Cloves) Garlic 1 Tablespoon (to 2 Tablespoons) Olive Oil 2 Tablespoons (to 3 Tablespoons) White Wine Vinegar 1/4 cup Brown Sugar 1 whole Onion  Lime Wedges|http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/|http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg|PT4H|8|2008-08-06|PT20M|   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...|Hard
Salad Tacos|16 whole Taco Shells 2 pounds Ground Beef 3 Tablespoons Taco Seasoning 1 can (4 Ounce) Tomato Paste  Salt To Taste 1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained 1/2 cup Hot Water 1 head Green Leaf Lettuce, Sliced Very Thin 1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes) 1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)  FOR THE DRESSING: 1/4 cup Mayonnaise 1/4 cup Sour Cream 1/4 cup Salsa 1 Tablespoon Ranch Dressing Mix (optional)  Extra Hot Sauce (optional)  Crushed Tortilla Chips (optional)|http://thepioneerwoman.com/cooking/2013/01/salad-tacos/|http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg|PT15M|8|2013-01-31|PT10M|I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...|Easy
Thai Chicken Wraps|2 whole Boneless, Skinless Chicken Breasts (breast Halves)  OPTION 1 MARINADE/SAUCE 1 Tablespoon Rice Wine Vinegar 1/4 cup Soy Sauce 1 teaspoon Pure Sesame Oil 1 teaspoon Hot Chili Oil  Juice Of 2 Limes 1 Tablespoon Minced Fresh Ginger 2 Tablespoons Brown Sugar (optional) 1 teaspoon Cornstarch 2 Tablespoons Honey (or Brown Sugar)  Peanut Or Canola Oil For Frying  Peanut Sauce 1/2 cup Peanut Butter (crunch/chunky Is Good!) 3 Tablespoons Soy Sauce 3 Tablespoons Honey 1/2 teaspoon Hot Chili Oil 1 teaspoon Crushed Red Pepper  Juice Of 2 Limes  Water, As Needed For Thinning  Wraps 2 whole Whole-wheat Tortillas  Green Leaf Or Other Lettuce, Leaves Left Whole Or Shredded 1 whole Large Carrot, Cut Into Thin Strips Or Julienne 1/2 whole Cucumber, Seeds Scraped Out, Cut Into Strips  Cilantro Leaves  Shelled Peanuts  Optional Additions:  Bean Sprouts  Alfalfa Sprouts  Baby Spinach Leaves  Thinly Sliced Red Onion  Sliced Green Onion  Blanched Asparagus  Salt And Pepper, to taste  Sriracha|http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/|http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg|PT10M|2|2013-02-12|PT20M|I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...|Medium
Beef Fajitas|1 whole Beef Flank Steak 1/2 cup Olive Oil 3 Tablespoons Worcestershire Sauce 1/3 cup Lime Juice, Fresh Squeezed 3 cloves Garlic, Minced 1 Tablespoon Cumin 1 Tablespoon Chili Powder 1/2 teaspoon Red Pepper Flakes 1 teaspoon Salt 1/2 teaspoon Black Pepper 1 Tablespoon Sugar 2 whole Medium Onions, Halved And Sliced 1 whole Red Bell Pepper, Sliced 1 whole Orange Bell Pepper, Sliced 1 whole Green Bell Pepper, Sliced 1 whole Yellow Bell Pepper, Sliced  Oil, For Frying  Flour Tortillas, Warmed  Cheese (grated Cheddar/jack Or Crumbled Queso Fresco)  Salsa  Sour Cream  Cilantro Leaves|http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/|http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg|PT15M|8|2013-03-04|PT2H|When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...|Hard
Green Curry with Tofu|Ingredients for chili paste: 2 green hot chilies (Thai chilies) 1 tablespoon chopped shallots 1 teaspoon chopped galangal  1/2 teaspoon chopped kaffir lime rind 1 tablespoon chopped garlic 1 tablespoon chopped lemongrass 1 tablespoon chopped krachai 1/4 teaspoon roasted cumin seeds 1/4 teaspoon roasted coriander seeds 1/2 teaspoon salt Other ingredients: 1 cup sliced eggplants 1/4 cup smaller pea-like eggplants (makheau phuang) 1/3 cup sliced onion 70 grams sliced chicken (or firm tofu) 1 teaspoon sugar 1 tablespoon fish sauce (or soy sauce for vegetarians) 3 kaffir lime leaves 2 stems sweet basil (horapaa) 1 cup coconut milk 1 cup water (Again, chicken can be replaced tofu)|http://www.101cookbooks.com/archives/000130.html|http://www.101cookbooks.com/mt-static/images/food/.jpg|||2004-12-01||101 Cookbooks: Green Curry with Tofu Recipe|Easy
Wild Mushroom Salad Recips|150 g (5 oz) assorted wild mushrooms 2 tablespoons stock pinch of salt pinch of white sugar - optional 3 tablespoons lime juice (you might use less) 2 tablespoons fish sauce (for veg: substitute a splash of soy sauce) large pinch of roasted chili powder 4 shallots, sliced handful of mixed mint and coriander leaves 2 tablespoons shredded pak chii farang (long-leaf coriander) 1 tablespoon chopped spring (green) onion 1 tablespoon ground roasted rice -a few sprigs of Thai basil -sliced cabbage and cucumber|http://www.101cookbooks.com/archives/000140.html|http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg|||2005-02-01||101 Cookbooks: Wild Mushroom Salad Recipe|Easy
Fresh Apple Salsa|2 tart apples, locally grown if possible 4 tablespoons lime juice 1 fresh jalapeno chile 1 fresh Anaheim chile 1/2 medium onion, finely chopped Handful of cilantro, roughly chopped 1/2 cup (2 ounces) walnuts, coarsely chopped and lightly toasted 2 tablespoons peeled and finely slivered fresh ginger 1/4 teaspoon salt|http://www.101cookbooks.com/archives/000170.html|http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg||Serves 4 to 6.|2005-05-28||101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe|Easy
Pierce Street Vegetarian Chili Recipe|2 tablespoons olive oil 1 large yellow onion, chopped 2 shallots, chopped 8 small/med garlic cloves, finely chopped 1 tablespoon ginger, peeled and grated 3 tablespoons chili powder 1 teaspoon ground cumin 1 serrano pepper, seeded and finely chopped 1 chipotle pepper (from can or rehydrate), minced 1 28-ounce can of crushed tomatoes 10  cups vegetable broth 1 1/2 cups cooked chickpeas (canned is fine) 2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over 2/3 cup pearled barley or pearled farro 2/3 cup bulgur wheat 1 teaspoon fine grain sea salt (or to taste) toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion|http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html|http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg|||2009-05-13||The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.|Easy
Vegetarian Tortilla Soup Recipe|6-8 corn tortillas, cut in half and then into  matchstick-thin strips a big splash of extra virgin olive oil fine grain sea salt 20 small yellow or red cherry tomatoes another splash of extra virgin olive oil 3 cloves garlic, chopped 1 large white onion, chopped 1 teaspoon ground cumin 2 teaspoons ground coriander 1 teaspoon cayenne or other spicy red chili powder 1 14-ounce can crushed tomatoes 6 cups vegetable broth (or water) a few sun-dried tomatoes, chopped 1/4 cup of goat cheese, crumbled|http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg||Makes about 6 servings.|2008-06-19||My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.|Easy
Bourbon Baked Sweet Potatoes|5-6 chubby, red-fleshed sweet potatoes Splash of extra-virgin olive oil Salt and pepper 1-inch square of ginger, peeled and grated 2 generous pinches of ground cinnamon or canela 1 generous pinch of ground cloves Zest of one lemon (orange zest would be good too) 3T unsalted butter, melted and cooled a bit 1/4 cup maple syrup Splash of milk (2T. or so) Splash of bourbon (2T. or so) 1/4 freshly grated Parmesan (not from the plastic container!) Spicy Pecans (recipe below) 1 tablespoon unsalted butter 2 cups pecans 1/3 cup brown sugar 1 teaspoon paprika 1 teaspoon red chile powder 3 tablespoons cider vinegar|http://www.101cookbooks.com/archives/000129.html|http://www.101cookbooks.com/mt-static/images/food/bourbonsweet2.jpg|||2004-11-26||101 Cookbooks: Bourbon Baked Sweet Potatoes Recipe|Easy
